category_id,category_code
2090971686529663114,appliances.environment.vacuum
2232732116498514828,apparel.jeans
2232732109628244704,apparel.shirt
2232732103294845523,apparel.shoes.step_ins
2232732086500851925,apparel.scarf
2232732100660822557,country_yard.cultivator
2053013558282682943,construction.tools.drill
2053013562527318829,furniture.living_room.cabinet
2110937143172923797,construction.tools.light
2074462942123786261,kids.toys
2094006249627582860,accessories.umbrella
2053013558190408249,apparel.tshirt
2179887840530268640,apparel.shoes
2166891935262835680,apparel.jumper
2116907525176557699,sport.bicycle
2053013551857008829,apparel.shoes
2070747685681365440,furniture.bedroom.bed
2232732100224614933,country_yard.cultivator
2110187395394568257,appliances.kitchen.refrigerators
2053013564674802599,sport.trainer
2053013566344134657,accessories.bag
2055156924273394455,apparel.skirt
2182780329306096562,apparel.trousers
2053013554834964853,appliances.kitchen.kettle
2053013564003713919,appliances.kitchen.oven
2053013552637149417,computers.peripherals.mouse
2232732079706079299,sport.bicycle
2095518917320508073,construction.tools.axe
2232732118536946624,apparel.shoes
2053013553970938175,auto.accessories.player
2232732062190666582,appliances.kitchen.hood
2053013556462354899,apparel.shoes
2053013566377689091,apparel.underwear
2232732134987006296,electronics.audio.headphone
2053013556344914381,kids.fmcg.diapers
2053013564028879745,accessories.umbrella
2232732090124730664,furniture.bedroom.pillow
2232732083824885927,kids.fmcg.diapers
2053013559675191951,appliances.kitchen.fryer
2053013561663292159,furniture.bathroom.bath
2053013562393101093,apparel.jumper
2165087460176953468,auto.accessories.compressor
2060981320514797612,furniture.living_room.shelving
2053013553341792533,electronics.clocks
2232732111700230936,furniture.kitchen.table
2053013558987326060,apparel.shoes.moccasins
2053013556546240985,furniture.kitchen.chair
2059484599339188409,apparel.jacket
2232732133913264446,apparel.tshirt
2053013553165631753,kids.toys
2232732099125707261,sport.trainer
2232732104888681081,apparel.scarf
2053013553694114093,apparel.glove
2053013564221817741,apparel.jeans
2232732103613612635,apparel.shoes.ballet_shoes
2232732090980368698,furniture.living_room.sofa
2053013554012881218,computers.components.cpu
2053013551890563264,sport.ski
2136389354015162499,apparel.shoes.sandals
2053013566478352393,apparel.underwear
2232732100342055447,appliances.personal.massager
2053013553316626707,computers.ebooks
2053013559641637517,apparel.costume
2053013552788144369,auto.accessories.parktronic
2053013558836331105,apparel.shoes.keds
2053013558895051365,apparel.shoes
2080463777718862211,construction.tools.welding
2053013563693335403,sport.ski
2053013559868129947,computers.desktop
2144215503583839066,apparel.shoes
2222533230198784741,apparel.underwear
2053013561185141473,accessories.umbrella
2053013552989470973,computers.ebooks
2232732098806940151,apparel.shoes.moccasins
2086471233100054624,sport.tennis
2053013562971915079,appliances.personal.hair_cutter
2232732119400973272,apparel.costume
2053013555397001616,appliances.kitchen.mixer
2232732102749585991,appliances.kitchen.hob
2146430820443751321,apparel.shoes.ballet_shoes
2053013562183385881,apparel.shoes
2053013560388223675,apparel.sock
2053013555095011711,appliances.kitchen.coffee_machine
2053013560866374351,auto.accessories.radar
2171876313638371452,furniture.living_room.cabinet
2232732092297380188,appliances.kitchen.washer
2232732095485051302,sport.trainer
2053013557762589215,construction.tools.pump
2053013562753811257,apparel.skirt
2053013561982059281,apparel.costume
2232732111876391708,construction.tools.saw
2053013552913973497,computers.peripherals.keyboard
2232732082390433922,electronics.audio.subwoofer
2127425375913902544,computers.notebook
2232732092624535910,furniture.universal.light
2232732087742365937,construction.tools.saw
2053013562913194819,sport.ski
2232732127974129834,apparel.shirt
2232732100954423843,appliances.personal.massager
2075962323838697472,kids.skates
2232732112614589228,furniture.kitchen.table
2232732121070305284,construction.tools.saw
2232732107413652135,apparel.shorts
2232732079009824823,kids.skates
2232732110517437176,apparel.shirt
2147123663017608108,apparel.glove
2053013566562238479,apparel.jeans
2116907524337696855,apparel.shoes.keds
2232732123050016818,apparel.trousers
2053013553484398879,appliances.kitchen.toster
2232732101323522603,apparel.shoes.slipons
2232732112211936036,apparel.tshirt
2053013559138321009,apparel.trousers
2232732120684430330,apparel.shoes
2053013556789510631,appliances.environment.vacuum
2053013558928605800,computers.notebook
2232732098303623659,apparel.shoes.espadrilles
2053013559566140040,construction.tools.pump
2053013552863641845,appliances.environment.fan
2232732085846540487,construction.tools.generator
2053013560413389501,apparel.dress
2053013565505274835,apparel.shoes.espadrilles
2232732114283922258,furniture.bathroom.bath
2053013557192163841,furniture.bedroom.bed
2053013560144954031,sport.tennis
2053013556990837237,furniture.kitchen.table
2141478496122176368,furniture.bathroom.bath
2232732081702568046,furniture.bathroom.toilet
2232732105123562109,apparel.scarf
2053013566100866035,appliances.sewing_machine
2135658542101693154,sport.snowboard
2053013563273904979,construction.tools.welding
2232732103026410061,furniture.bedroom.blanket
2053013560287560373,stationery.cartrige
2232732093345956218,construction.tools.light
2232732133527388470,apparel.sock
2070005009340171019,apparel.underwear
2097815753423061045,apparel.tshirt
2232732099754852875,appliances.personal.massager
2232732097087275466,sport.trainer
2146660887346282824,apparel.tshirt
2232732119493247962,apparel.costume
2053013562451821351,apparel.costume
2232732112706863918,apparel.tshirt
2061717948493463814,computers.peripherals.printer
2116907518801216297,apparel.glove
2232732070738658251,furniture.bedroom.bed
2053013553887052089,apparel.shoes
2232732114535580504,furniture.living_room.cabinet
2232732134156534084,apparel.tshirt
2232732084688912563,furniture.kitchen.chair
2232732137285484952,furniture.bathroom.bath
2134905045253095435,sport.tennis
2232732067399992229,computers.ebooks
2232732114460083030,furniture.living_room.cabinet
2102305809651204547,appliances.kitchen.dishwasher
2232732110089618156,apparel.trousers
2053013559071212141,apparel.shoes
2053013561696846593,construction.tools.welding
2069241396576911678,furniture.bedroom.pillow
2232732124115370060,apparel.shoes.moccasins
2053013561604571899,apparel.costume
2232732130985640184,sport.trainer
2146551843914777018,apparel.costume
2232732090409943342,furniture.bedroom.pillow
2232732109494026972,accessories.umbrella
2053013561453576945,apparel.costume
2232732127479201950,accessories.bag
2053013556009370039,construction.tools.saw
2055909009252155819,apparel.trousers
2232732085150286011,computers.desktop
2053013562476987177,kids.skates
2059484602015154495,country_yard.furniture.bench
2232732114057429836,appliances.kitchen.refrigerators
2232732069102879671,appliances.kitchen.kettle
2232732095392776612,sport.trainer
2232732094025433482,furniture.bedroom.blanket
2232732110450328310,country_yard.furniture.hammok
2134905045177597961,sport.tennis
2053013566277026813,apparel.belt
2232732109561135838,accessories.umbrella
2135658545767514950,apparel.costume
2232732103907213923,furniture.kitchen.table
2171876348702753684,apparel.skirt
2053013563550729061,sport.ski
2232732110718763774,furniture.living_room.cabinet
2053013559901684381,furniture.kitchen.chair
2053013552821698803,computers.peripherals.mouse
2116907524530634847,apparel.shoes
2053013560497275585,electronics.camera.photo
2053013554323259733,electronics.camera.video
2134904982346924669,electronics.clocks
2232732082935693457,accessories.bag
2053013559733912211,apparel.trousers
2232732092028944724,construction.tools.saw
2110937219005940617,apparel.trousers
2053013560312726199,furniture.living_room.chair
2110937076030505011,furniture.bathroom.bath
2069241407767315312,apparel.scarf
2053013563944993659,appliances.kitchen.dishwasher
2232732112304210726,kids.swing
2232732101063475749,appliances.environment.vacuum
2053013563450065759,apparel.shoes
2109094161893294334,apparel.costume
2232732102858637897,furniture.bedroom.blanket
2232732101239636521,computers.components.cooler
2232732109871514342,accessories.umbrella
2053013554566529381,computers.desktop
2100825582450246168,apparel.jeans
2100825583029060150,apparel.jeans
2053013553140465927,kids.toys
2053013561092866779,computers.desktop
2053013558978937451,sport.bicycle
2053013554725912943,appliances.kitchen.coffee_grinder
2053013556579795419,sport.trainer
2232732109175259860,sport.trainer
2053013552955916539,computers.peripherals.printer
2232732093941547400,furniture.bedroom.blanket
2232732117446427558,apparel.shoes
2232732090485440816,furniture.bedroom.pillow
2232732111557624596,construction.tools.saw
2053013564062434179,apparel.scarf
2232732100769874463,appliances.personal.massager
2053013558727279193,accessories.bag
2076715364237967901,apparel.shorts
2232732111012365062,country_yard.furniture.hammok
2053013553224352013,kids.dolls
2059484599372742843,apparel.shirt
2053013563139687243,apparel.shoes
2232732102950912587,appliances.sewing_machine
2053013561126421213,apparel.jumper
2232732074664526829,computers.peripherals.camera
2232732061737681738,computers.peripherals.monitor
2053013561638126333,apparel.shirt
2053013560010736293,apparel.underwear
2075962341748376288,apparel.shirt
2053013554121933129,computers.components.cpu
2053013562871251777,apparel.dress
2058719829233238746,apparel.glove
2232732102103663163,furniture.bedroom.blanket
